               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.071905,            0.021205,            0.010259,             0.44225,             0.64864,             0.53506,             0.12969,            0.081475,            0.018074,           0.0060744,           0.0097674,           0.0097674,           0.0097674
                  49,            0.068788,            0.023333,           0.0084566,             0.77737,             0.61228,              0.6091,             0.12562,            0.076724,            0.018528,           0.0063216,           0.0097624,           0.0097624,           0.0097624
                  50,             0.06538,            0.021717,            0.010102,             0.80528,             0.65095,             0.68384,             0.20095,            0.060094,            0.020653,           0.0067384,           0.0097575,           0.0097575,           0.0097575
                  51,            0.063152,            0.023815,             0.01042,             0.29166,             0.71794,             0.39165,             0.14456,            0.074125,            0.019171,           0.0052261,           0.0097525,           0.0097525,           0.0097525
                  52,            0.066709,            0.020369,           0.0080403,             0.29166,             0.71794,             0.39165,             0.14456,            0.074125,            0.019171,           0.0052261,           0.0097476,           0.0097476,           0.0097476
                  53,            0.063583,            0.021007,           0.0082362,             0.43255,             0.74287,             0.59754,             0.21854,              0.0716,            0.019793,           0.0049159,           0.0097426,           0.0097426,           0.0097426
                  54,            0.064565,            0.020526,           0.0078264,             0.44854,             0.85361,             0.70257,             0.20154,            0.060999,             0.02048,            0.004911,           0.0097377,           0.0097377,           0.0097377
                  55,            0.062406,             0.02043,            0.008443,             0.37531,             0.68994,             0.41718,             0.18007,            0.083781,            0.019499,            0.004495,           0.0097327,           0.0097327,           0.0097327
                  56,            0.080278,            0.018757,           0.0076001,             0.37531,             0.68994,             0.41718,             0.18007,            0.083781,            0.019499,            0.004495,           0.0097278,           0.0097278,           0.0097278
                  57,            0.080246,            0.018064,           0.0076052,             0.36445,             0.76311,              0.3988,             0.14693,            0.081193,            0.018897,           0.0043463,           0.0097228,           0.0097228,           0.0097228
                  58,            0.074606,             0.01874,           0.0078882,              0.3303,             0.52754,             0.34254,            0.097249,            0.078295,            0.018066,           0.0043571,           0.0097179,           0.0097179,           0.0097179
                  59,            0.071892,            0.020484,           0.0080838,             0.39028,             0.74812,             0.52753,             0.20042,            0.068028,            0.018575,           0.0037659,           0.0097129,           0.0097129,           0.0097129
                  60,            0.072733,            0.018716,           0.0072805,             0.39028,             0.74812,             0.52753,             0.20042,            0.068028,            0.018575,           0.0037659,            0.009708,            0.009708,            0.009708
                  61,            0.067411,             0.01919,           0.0069732,             0.34016,             0.70368,             0.40824,             0.16968,            0.073524,            0.018325,           0.0034808,            0.009703,            0.009703,            0.009703
                  62,            0.064878,            0.018239,           0.0073072,              0.5135,             0.60982,             0.53455,             0.19735,            0.060347,            0.017454,           0.0035118,            0.009698,            0.009698,            0.009698
                  63,            0.059913,             0.01787,           0.0077805,              0.4273,             0.83198,             0.60993,             0.16422,            0.070246,            0.017654,           0.0035798,           0.0096931,           0.0096931,           0.0096931
                  64,            0.067707,            0.017434,           0.0059216,              0.4273,             0.83198,             0.60993,             0.16422,            0.070246,            0.017654,           0.0035798,           0.0096881,           0.0096881,           0.0096881
                  65,            0.063804,            0.017728,           0.0067631,             0.40175,             0.79283,             0.67706,               0.252,            0.065477,            0.017369,           0.0036995,           0.0096832,           0.0096832,           0.0096832
                  66,            0.061272,            0.018118,           0.0078424,             0.44574,             0.85039,             0.62006,             0.16555,            0.063971,            0.017808,           0.0036605,           0.0096783,           0.0096783,           0.0096783
                  67,            0.060878,            0.020711,           0.0065503,             0.56218,             0.72635,             0.74735,             0.22916,            0.071876,             0.01893,           0.0038976,           0.0096733,           0.0096733,           0.0096733
                  68,            0.071653,            0.017607,           0.0070109,             0.56218,             0.72635,             0.74735,             0.22916,            0.071876,             0.01893,           0.0038976,           0.0096684,           0.0096684,           0.0096684
                  69,            0.067858,             0.01713,           0.0074222,              0.6675,             0.73836,             0.82926,               0.291,            0.066979,            0.019499,           0.0039995,           0.0096634,           0.0096634,           0.0096634
                  70,            0.066511,            0.018005,           0.0069278,             0.49854,             0.74448,             0.62972,             0.27806,             0.06924,            0.019479,           0.0038555,           0.0096585,           0.0096585,           0.0096585
                  71,            0.066489,            0.018747,           0.0059365,             0.38468,              0.8792,             0.52603,            0.091394,            0.065873,            0.017603,           0.0042299,           0.0096535,           0.0096535,           0.0096535
                  72,            0.065277,            0.018833,           0.0075843,             0.38468,              0.8792,             0.52603,            0.091394,            0.065873,            0.017603,           0.0042299,           0.0096486,           0.0096486,           0.0096486
                  73,            0.057983,            0.019033,           0.0075399,             0.43849,             0.89589,             0.69689,             0.20968,            0.060702,             0.01648,           0.0044944,           0.0096436,           0.0096436,           0.0096436
                  74,            0.055711,            0.017017,           0.0087105,             0.67601,              0.9237,             0.82201,             0.29643,            0.053087,            0.016527,           0.0047186,           0.0096387,           0.0096387,           0.0096387
                  75,            0.052264,            0.018953,           0.0084347,             0.89668,             0.65059,             0.89673,             0.43044,            0.061339,            0.015861,           0.0041972,           0.0096337,           0.0096337,           0.0096337
                  76,            0.059867,            0.017912,           0.0065318,             0.89668,             0.65059,             0.89673,             0.43044,            0.061339,            0.015861,           0.0041972,           0.0096288,           0.0096288,           0.0096288
                  77,             0.05304,            0.017289,           0.0073848,             0.77289,              0.7681,             0.84074,             0.42087,            0.051832,            0.016451,            0.004026,           0.0096238,           0.0096238,           0.0096238
